weather_date,weather_code,temperature_max,temperature_min,temperature_mean,precipitation_sum,wind_speed_max,temperature_range,rain_flag,precipitation_category,comfort_category,city,country,latitude,longitude,timezone
2026-05-31,51,30.0,25.6,27.6,0.3,13.8,4.399999999999999,True,Light Rain,Warm,Lagos,Nigeria,6.5244,3.3792,Africa/Lagos
2026-06-01,81,29.0,26.0,27.4,5.2,13.6,3.0,True,Moderate Rain,Warm,Lagos,Nigeria,6.5244,3.3792,Africa/Lagos
2026-06-02,81,29.8,25.5,27.3,12.2,11.9,4.300000000000001,True,Heavy Rain,Warm,Lagos,Nigeria,6.5244,3.3792,Africa/Lagos
2026-06-03,55,28.0,25.8,26.9,4.7,11.9,2.1999999999999993,True,Moderate Rain,Warm,Lagos,Nigeria,6.5244,3.3792,Africa/Lagos
2026-06-04,80,28.5,24.4,26.7,13.8,14.8,4.100000000000001,True,Heavy Rain,Warm,Lagos,Nigeria,6.5244,3.3792,Africa/Lagos
2026-06-05,53,28.7,24.5,26.7,9.3,10.6,4.199999999999999,True,Moderate Rain,Warm,Lagos,Nigeria,6.5244,3.3792,Africa/Lagos
2026-06-06,61,26.5,24.7,25.5,15.0,11.8,1.8000000000000007,True,Heavy Rain,Warm,Lagos,Nigeria,6.5244,3.3792,Africa/Lagos
2026-06-07,53,27.9,24.7,26.4,7.0,10.2,3.1999999999999993,True,Moderate Rain,Warm,Lagos,Nigeria,6.5244,3.3792,Africa/Lagos
2026-06-08,55,28.8,24.0,26.3,14.0,10.2,4.800000000000001,True,Heavy Rain,Warm,Lagos,Nigeria,6.5244,3.3792,Africa/Lagos
2026-06-09,55,27.5,23.9,25.9,12.0,11.5,3.6000000000000014,True,Heavy Rain,Warm,Lagos,Nigeria,6.5244,3.3792,Africa/Lagos
2026-06-10,51,29.6,25.0,27.2,0.6,9.0,4.600000000000001,True,Light Rain,Warm,Lagos,Nigeria,6.5244,3.3792,Africa/Lagos
2026-06-11,53,29.0,26.2,27.4,7.0,6.3,2.8000000000000007,True,Moderate Rain,Warm,Lagos,Nigeria,6.5244,3.3792,Africa/Lagos
2026-06-12,95,28.1,25.6,26.9,8.6,11.3,2.5,True,Moderate Rain,Warm,Lagos,Nigeria,6.5244,3.3792,Africa/Lagos
2026-06-13,51,28.8,25.6,27.2,1.4,12.1,3.1999999999999993,True,Light Rain,Warm,Lagos,Nigeria,6.5244,3.3792,Africa/Lagos
2026-06-14,53,30.2,25.0,27.4,5.85,15.8,5.199999999999999,True,Moderate Rain,Warm,Lagos,Nigeria,6.5244,3.3792,Africa/Lagos
2026-06-15,,,,,,,,False,Unknown,Unknown,Lagos,Nigeria,6.5244,3.3792,Africa/Lagos
